,Category,Word,FirstLetter,Word.1,Freq
299,Beruf,Arbeitsklima,A,,96.0
300,Beruf,Arbeitskluft,A,,2.0
301,Beruf,Arbeitskollege,A,,18.0
302,Beruf,Arbeitskolonne,A,,1.0
303,Beruf,Arbeitskommando,A,,7.0
304,Beruf,Arbeitskonferenz,A,,2.0
305,Beruf,Arbeitskonflikt,A,,1.0
306,Beruf,Arbeitskorb,A,,5.0
307,Beruf,Arbeitskosten,A,,72.0
308,Beruf,Arbeitskraft,A,,161.0
309,Beruf,Arbeitskreis,A,,518.0
310,Beruf,Arbeitskräfteangebot,A,,2.0
311,Beruf,Arbeitskräftebedarf,A,,9.0
312,Beruf,Arbeitskräftemangel,A,,42.0
313,Beruf,Arbeitskräftepotential,A,,2.0
314,Beruf,Arbeitskräftepotenzial,A,,10.0
315,Beruf,Arbeitskultur,A,,36.0
316,Beruf,Arbeitslager,A,,58.0
317,Beruf,Arbeitslast,A,,13.0
318,Beruf,Arbeitsleben,A,,339.0
319,Beruf,Arbeitslehre,A,,24.0
320,Beruf,Arbeitsleistung,A,,113.0
321,Beruf,Arbeitsleute,A,,1.0
322,Beruf,Arbeitslied,A,,1.0
323,Beruf,Arbeitslohn,A,,69.0
324,Beruf,Arbeitslose,A,,186.0
325,Beruf,Arbeitslosenfürsorge,A,,1.0
326,Beruf,Arbeitslosengeld,A,,295.0
327,Beruf,Arbeitslosenhilfe,A,,16.0
328,Beruf,Arbeitsmediziner,A,,18.0
329,Beruf,Arbeitsminister,A,,108.0
330,Beruf,Arbeitsministerin,A,,27.0
331,Beruf,Arbeitspsychologe,A,,3.0
332,Beruf,Arbeitspsychologie,A,,5.0
333,Beruf,Arbeitspsychologin,A,,4.0
334,Beruf,Arbeitsrechtler,A,,25.0
335,Beruf,Arbeitsrechtsexperte,A,,2.0
336,Beruf,Arbeitsrichter,A,,8.0
337,Beruf,Arbeitsvermittler,A,,12.0
338,Beruf,Arbeitsvermittlerin,A,,2.0
339,Beruf,Arbeitsverweigerer,A,,3.0
340,Beruf,Arbeitsvorbereiter,A,,1.0
341,Beruf,Arbeitswissenschaft,A,,16.0
342,Beruf,Arbeitswissenschaftler,A,,2.0
343,Beruf,Archidiakon,A,,9.0
344,Beruf,Archimandrit,A,,2.0
345,Beruf,Architekt,A,,753.0
346,Beruf,Architekt/in,A,,1.0
347,Beruf,Architektenbüro,A,,17.0
348,Beruf,Architektenkammer,A,,101.0
349,Beruf,Architektenkollektiv,A,,1.0
350,Beruf,Architektenteam,A,,2.0
351,Beruf,Architektenwettbewerb,A,,33.0
352,Beruf,Architektin,A,,103.0
353,Beruf,Architekturbüro,A,,188.0
354,Beruf,Architekturfotograf,A,,3.0
355,Beruf,Architekturhistoriker,A,,5.0
356,Beruf,Architekturkritiker,A,,1.0
357,Beruf,Architekturmaler,A,,2.0
358,Beruf,Architekturstudent,A,,5.0
359,Beruf,Architekturstudium,A,,25.0
360,Beruf,Architekturzeichner,A,,2.0
361,Beruf,Archivar,A,,46.0
362,Beruf,Archivarbeit,A,,8.0
363,Beruf,Archivarin,A,,9.0
364,Beruf,Archivbenutzer,A,,1.0
365,Beruf,Archivdienst,A,,5.0
366,Beruf,Archivdirektor,A,,6.0
367,Beruf,Archivkunde,A,,2.0
368,Beruf,Archivleiter,A,,4.0
369,Beruf,Archivrat,A,,6.0
370,Beruf,Archivreferendar,A,,3.0
371,Beruf,Archivverwaltung,A,,8.0
372,Beruf,Archäologe,A,,74.0
373,Beruf,Archäologin,A,,40.0
374,Beruf,Argentinierin,A,,7.0
375,Beruf,Argus,A,,31.0
376,Beruf,Aristokrat,A,,5.0
377,Beruf,Aristoteliker,A,,1.0
378,Beruf,Armeegeneral,A,,4.0
379,Beruf,Armeeoffizier,A,,5.0
380,Beruf,Armenpfleger,A,,2.0
381,Beruf,Arrangeur,A,,51.0
382,Beruf,Arrangeurin,A,,2.0
383,Beruf,Artist,A,,102.0
384,Beruf,Artistin,A,,12.0
385,Beruf,Arzt,A,,3925.0
386,Beruf,Arzt/Ärztin,A,,13.0
387,Beruf,Arztassistent,A,,1.0
388,Beruf,Arztassistentin,A,,1.0
389,Beruf,Arztberuf,A,,14.0
390,Beruf,Arzthelfer,A,,7.0
391,Beruf,Arzthelfer/in,A,,1.0
392,Beruf,Arzthelferin,A,,23.0
393,Beruf,Arztkittel,A,,8.0
394,Beruf,Arztkosten,A,,8.0
395,Beruf,Arztpraxis,A,,221.0
396,Beruf,Arztrechnung,A,,5.0
397,Beruf,Arztrufzentrale,A,,1.0
398,Beruf,Arztsekretärin,A,,1.0
399,Beruf,Arztserie,A,,3.0
400,Beruf,Arzttasche,A,,1.0
401,Beruf,Arzttermin,A,,33.0
402,Beruf,Arzttum,A,,2.0
403,Beruf,Arztwahl,A,,16.0
404,Beruf,Arztwechsel,A,,3.0
405,Beruf,Asphaltbauer,A,,3.0
406,Beruf,Aspirant,A,,8.0
407,Beruf,Assekuranzmakler,A,,1.0
408,Beruf,Assembler,A,,12.0
409,Beruf,Assessor,A,,38.0
410,Beruf,Assessorin,A,,3.0
411,Beruf,Asset-Manager,A,,2.0
412,Beruf,Assistent,A,,469.0
413,Beruf,Assistentenstelle,A,,8.0
414,Beruf,Assistentin,A,,212.0
415,Beruf,Assistenz,A,,231.0
416,Beruf,Assistenzarzt,A,,63.0
417,Beruf,Assistenzprofessor,A,,28.0
418,Beruf,Assistenztrainer,A,,67.0
419,Beruf,Assistenztrainerin,A,,4.0
420,Beruf,Assistenzzahnarzt,A,,1.0
421,Beruf,Assistenzärztin,A,,18.0
422,Beruf,Astrologe,A,,8.0
423,Beruf,Astrologin,A,,7.0
424,Beruf,Astronaut,A,,87.0
425,Beruf,Astronautin,A,,36.0
426,Beruf,Astronom,A,,33.0
427,Beruf,Astronomin,A,,8.0
428,Beruf,Astrophysiker,A,,28.0
